COVID-19 Vaccine,,,,Number of,Route of Clinical Stage,,,,
"",,Vaccine platform,Type of candidate vaccine,Timing of doses,,,,,
developer/manufacturer,,,,doses,Administration,,,,
"",,,,,Phase 1,,Phase 1/2 Phase 2,,Phase 3
"",,,,,,,PACTR202006922165132,,
"",,Non-Replicating,,,,,,,
University of Ox  ford/A s tra Ze ne,ca,,ChAdOx1-S,1,IM,,2020-001072-15 2020-001228-32,,ISRCTN89951424
"",,Viral Vector,,,,,,,
"",,,,,,,Interim Report,,
"",,,,,,,NCT04383574,,
Sinova  c,,Inactivated,Inactivated,"2 0,  14 days",IM,,,,NCT04456595
"",,,,,,,NCT04352608,,
Wuhan Institute of Biological,,,,,,,,,
"",,Inactivated,I nac tivated,"2 0,14  or  0,21 days",IM,,ChiCTR2000031809,,Ch iCTR2000034780
Products/Sinopharm,,,,,,,,,
Beijing Institute of Biological,,,,,,,,,
"",,Inactivated,I  nactivated,"2 0,14  or  0,21 days",IM,,ChiCTR2000032459,,ChiCTR2000034780
Products/Sinopharm,,,,,,,,,
"",,,,,NCT04283461,,NCT04405076,,NCT04470427
Moderna/NIAID,,RNA,LNP-encapsulated mRNA,"2 0,  28 days",IM,,,,
"",,,,,Interim Report,,,,
"",,,,,,,2020-001038-36,,
BioNTech/Fosun Pharma/Pfizer,,RNA,3 LNP-mRNAs,"2  0, 28 days",IM,,,,NCT04368728
"",,,,,,,ChiCTR2000034825,,
CanSino Biological Inc./Beijing Institute,,Non-Replicating,,,ChiCTR2000030906,,ChiCTR2000031781,,
"",,,Adenovirus Type 5 Vector,1,IM,,,,
of Biotechnology,,Viral Vector,,,Study Report,,Study Report,,
Anhui Zhifei Longcom,,Protein Subunit,Adjuvanted recombinant protein,"0,282 or 3 or0,28,56",IM NCT04445194,,NCT04466085,,
Biopharmaceutical/Institute of,,,(RBD-Dimer),days,,,,,
